KEY,LABEL_EN,LABEL_FR,LABEL_NL
REDUCTION_ACTION_DUE_DATE_FIELD_PLACEHOLDER,Due Date,Échéance de l’action,NL_Échéance de l’action
REDUCTION_ACTION_RESPONSIBLE_PERSON_FIELD_TITLE,EN_Personne responsable,Personne responsable,NL_Personne responsable
REDUCTION_ACTION_RESPONSIBLE_PERSON_FIELD_PLACEHOLDER,EN_Personne responsable,Personne responsable,NL_Personne responsable
REDUCTION_ACTION_COMMENT_FIELD_TITLE,EN_Notes,Notes,NL_Notes
REDUCTION_ACTION_COMMENT_FIELD_PLACEHOLDER,EN_Notes,Notes,NL_Notes
REDUCTION_ACTION_INVALID_DUE_DATE,EN_La date d'échéance doit être supérieure à la date actuelle,La date d'échéance doit être supérieure à la date actuelle,NL_La date d'échéance doit être supérieure à la date actuelle
REDUCTION_ACTION_WEBSITE_FIELD_TITLE,Website,Site web,Website
REDUCTION_ACTION_WEBSITE_FIELD_PLACEHOLDER,EN_Site web offrant des infos utiles sur cette action,Site web offrant des infos utiles sur cette action,NL_Site web offrant des infos utiles sur cette action
REDUCTION_ACTION_ATTACHMENTS_FIELD_TITLE,Attachments,Documents attachés,NL_Attachments
REDUCTION_ACTION_UPLOAD_IN_TREATMENT,In treatment,Traîtement en cours...,NL_Traîtement en cours…
TEXT_FIELD_MAX_255_CHARACTERS,EN_La longueur de ce champ ne peut être supérieure à 255 caractères,La longueur de ce champ ne peut être supérieure à 255 caractères,NL_La longueur de ce champ ne peut être supérieure à 255 caractères
TEXT_FIELD_MAX_1000_CHARACTERS,EN_La longueur de ce champ ne peut être supérieure à 1000 caractères,La longueur de ce champ ne peut être supérieure à 1000 caractères,NL_La longueur de ce champ ne peut être supérieure à 1000 caractères
REDUCTION_ACTION_TABLE_DETAILS,Details,Détails,NL_Details
REDUCTION_ACTION_TABLE_ACTIONS,Actions,Actions,NL_Actions
REDUCTION_ACTION_TABLE_TYPE,Type,Type,NL_Type
REDUCTION_ACTION_TABLE_SCOPE,Scope,Périmètre,NL_Scope
REDUCTION_ACTION_TABLE_COMPLETION,Completion,Réalisation,NL_Completion
REDUCING_ACTION_BUTTON_MARK_AS_DONE,Mark action as done,Marquer l'action comme réalisée,NL_Mark action as done
REDUCING_ACTION_BUTTON_EDIT,Edit action,Editer cette action,NL_Edit action
REDUCING_ACTION_BUTTON_CREATE,Create new action,Ajouter une action,NL_Create new action
REDUCING_ACTION_BUTTON_EXPORT_TO_XLS,Export to XLS,Exporter au format XLS,NL_Export to XLS
ASK_VERIFICATION,Ask verification,Demander une vérification,
REQUEST_SEND,Send request,Envoyer la requête,
MY_PHONE_NUMBER,My phone number,Mon téléphone,
REQUEST_VERIFICATION_EMAIL_VERIFIER,Email of the verifier,Adresse e-mail du vérifieur,
ORGANIZATION,Organization,Organisation,
SITE_PRODUCT,Site / product,Site / produit,
CONTACT,Contact,Contact,
COMMENT,Comment,Commentaire,
STATUS,Status,Status,
CALCULATOR_TYPE,Calculator type,Type de calculateur,
VERIFICATION_STATUS_WAIT_VERIFIER_REGISTRATION,VERIFICATION_STATUS_WAIT_VERIFIER_REGISTRATION_EN,En attende d'un vérificateur,
VERIFICATION_STATUS_WAIT_CUSTOMER_CONFIRMATION,VERIFICATION_STATUS_WAIT_CUSTOMER_CONFIRMATION_EN,En atente confirmation demandeur,
VERIFICATION_STATUS_WAIT_VERIFIER_CONFIRMATION,VERIFICATION_STATUS_WAIT_VERIFIER_CONFIRMATION_EN,En attente acceptation vérificateur,
VERIFICATION_STATUS_WAIT_ASSIGNATION,VERIFICATION_STATUS_WAIT_ASSIGNATION_EN,En attente assignation,
VERIFICATION_STATUS_VERIFICATION,VERIFICATION_STATUS_VERIFICATION_EN,En cours de vérification,
VERIFICATION_STATUS_CORRECTION,VERIFICATION_STATUS_CORRECTION_EN,Corrections nécessaires,
VERIFICATION_STATUS_VERIFIED,VERIFICATION_STATUS_VERIFIED_EN,Vérifié,
VERIFICATION_REQUEST_ACCEPT,Accept request,Accepter la requête,
VERIFICATION_REQUEST_REJECT,Reject request,Rejeter la requête,
VERIFICATION_REQUEST_ASSIGN,Assign verification to ...,Assigner la vérification à ....,
VERIFICATION_STATUS_WAIT_VERIFICATION_CONFIRMATION,VERIFICATION_STATUS_WAIT_VERIFICATION_CONFIRMATION_EN,En attente de retour au demandeur,
VERIFICATION_ASSIGNED_USERS,Assigned validators,Utilisateurs assignés,
ADD_REQUEST_WITH_KEY,Add request with key,Clé à ajouter: ,
ADD_REQUEST_WITH_KEY_DESC,Add request with key DESC,Fournissez ici la clé de validation reçue du demandeur pour pouvoir ensuite accepter ou refuser sa demande.,
VERIFIED_BY,Verified by {0},Vérifier par {0},
EVENT,Factor,Facteur,
ORGANIZATION_EVENT,Organization factors,Facteurs de l'organisation,
CONSULT_ORGANIZATION_EVENT,Consult organization factors,Consulter les facteurs de l'organisation,
FINALIZE_VERIFICATION_BUTTON,Finalize verification,Finaliser la vérification,
FINALIZATION_VALID_DESC,FINALIZATION_VALID_DESC_EN,"Pour finaliser cette vérification de manière positive, merci de fournir le rapport de vérification et de conclure.",FINALIZATION_VALID_DESC_EN
FINALIZATION_UNVALID_DESC,FINALIZATION_UNVALID_DESC_EN,"Pour finaliser cette étape de vérification qui nécessite de correction, merci de fournir un commentaire global et de conclure.",FINALIZATION_UNVALID_DESC_EN
VERIFICATION_REPORT,Verification repport,Rapport de vérification,Verification repport
CANCEL_VERIFICATION_DESC,CANCEL_VERIFICATION_DESC_EN,"En cas d'annulation d'une demande de vérification, tout travail de vérification qui aurait démarré est irrémédiablement perdu. Merci de confirmer que c'est bien ce qui est désiré.",CANCEL_VERIFICATION_DESC_EN
VERIFICATION_RESUBMIT_DESC,VERIFICATION_RESUBMIT_DESC_EN,Merci de confirmer que vous souhaitez re-soumettre des données corrigées pour poursuivre la vérification en cours.,VERIFICATION_RESUBMIT_DESC_EN
CANCEL_VERIFICATION_TITLE,CANCEL_VERIFICATION_TITLE_EN,Annulation de la vérification,CANCEL_VERIFICATION_TITLE_EN
VERIFICATION_RESUBMIT_TITLE,VERIFICATION_RESUBMIT_TITLE_EN,Soumission de corrections à la vérification,VERIFICATION_RESUBMIT_TITLE_EN
VERIFICATION_REGISTRATION,VERIFICATION_REGISTRATION,Création d'un compte vérificateur,VERIFICATION_REGISTRATION
Confirm valider,Confirm the verifier,Confirmer le vérificateur,Confirm the verifier
SURVEY_INTERFACE_VERIFICATION_CONFIRM_VERIFIER,Confirm the verifier,Confirmer le vérificateur,Confirm the verifier
VERIFICATION_CUSTOMER_CONFIRMATION_WINDOW_TITLE,VERIFICATION_CUSTOMER_CONFIRMATION_WINDOW_TITLE,Confirmation de la demande de vérification,VERIFICATION_CUSTOMER_CONFIRMATION_WINDOW_TITLE
VERIFICATION_CUSTOMER_CONFIRMATION_WINDOW_DESC,VERIFICATION_CUSTOMER_CONFIRMATION_WINDOW_DESC_EN {0},Confirmez-vous que vous souhaitez donner accès à {0} pour vérifier vos données?,VERIFICATION_CUSTOMER_CONFIRMATION_WINDOW_DESC_EN {0}
VERIFICATION_CUSTOMER_CONFIRMATION_WINDOW_ACCEPT,Accept,Accepter,Accept
VERIFICATION_CUSTOMER_CONFIRMATION_WINDOW_REJECT,Reject,Rejeter,Reject
VERIFICATION_CANCEL_BUTTON,Cancel the verification,Annuler la vérification,Cancel the verification
VERIFICATION_RE_SUBMIT_BUTTON,Re-submit for verification,Ressoumettre pour vérification,Re-submit for verification
SURVEY_INTERFACE_VERIFICATION_CONSULT,Consult the verification,Consulter la vérification,Consult the verification
Validate request,Validated request,Valider la requête,Validated request
DOWNLOAD_VERIFICATION_REPORT,Download the verification report,Télécharger le rapport de vérification,Download the verification report
VERIFICATION_FINALIZATION_CONSULT_COMMENT,Consult the comment,Consulter le commentaire,Consult the comment
FINALIZED,Finalized ?,Finalisé ?,Finalized ?
USER_MANAGER_MAIN_VERIFIER,Main verifier,Vérificateur principal,Main verifier
VERIFICATION_SURVEY_MANAGE,Manage,Gérer,Manage
VERIFICATION_SURVEY_VERIF,Verif,Vérification,Verif
VERIFICATION_SURVEY_SUBMIT,Submit,Soumettre,Submit
VERIFICATION_SURVEY_ARCHIVE,Archive,Archive,Archive
ANONYMOUS_PROFILE_DESC,Please provide your new identification data. When saving the information you will be disconnect from system. Afterwards you will be redirected to the login page and you need to connect to the system using your new identifier and password.,Veuillez saisir vos informations pour passer d'un compte anonyme vers un compte personnel. Lors de la sauvegarde vous serez déconnecté du système et la page de connexion apparaîtra. Vous devrez alors renseigner le nouvel identifiant du compte ainsi que le nouveau mot de passe.,NL_ANONYMOUS_PROFILE_DESC
LOGIN_ANONYMOUS_BUTTON,Anonymous connection,Connexion anonyme,NL_LOGIN_ANONYMOUS_BUTTON
INTRO_UPSTREAM_DISTRIBUTION,EN_INTRO_UPSTREAM_DISTRIBUTION,"Il est comptabilisé ici toutes les consommations d'énergie et de froid nécessaires à l'acheminement (hors transport véhicule) et au stockage des biens achetés, y compris par exemple le transport en pipeline. ",NL_INTRO_UPSTREAM_DISTRIBUTION
SAVE_BEFORE_LOCK_OR_VALID,Please save the form before validating a set of answers,Merci de sauvegarder le formulaire avant de valider un ensemble de réponses,
ONLY_INTEGER,Only integer number,Seuls des nombres entiers sont autorisés,ONLY_INTEGER
ONLY_NUMBER,Only numbers are accepted here,Seuls des nombres sont autorisés,ONLY_NUMBER
ADMIN_SURVEY_DRIVER,Driver,Driver,
TITLE_ADMIN,Administration,Administration,
VALUE,Value,Valeur,
